entropy,class
4.485105338,0
4.570812762,0
4.869166836,0
4.846442239,0
5.065816315,0
4.74407101,0
3.419143246,0
4.776206542,0
4.204111401,0
4.777635256,0
4.456580147,0
5.18500926,0
4.675464915,0
4.64432497,0
5.031073819,0
4.675124092,0
4.686926482,0
4.741054557,0
2.829750227,0
4.938287417,0
4.600253662,0
5.012440721,0
4.622473898,0
5.065095148,0
4.746321642,0
5.266314326,0
3.583684051,0
3.633180657,0
3.705491017,0
3.563314752,0
4.298555925,0
3.09339969,0
4.719694714,0
3.923202429,0
4.425308814,0
3.055367781,0
5.115000738,0
4.271380034,0
3.798507455,0
4.305206969,0
4.426365527,0
4.166303417,0
3.447368807,0
3.658203683,0
3.1213546,0
3.678131272,0
3.737494307,0
3.637745256,0
3.760979555,0
3.910057737,0
3.576086868,0
3.769227032,0
4.587675002,0
4.65783171,0
4.79552396,0
4.694024833,0
4.602014773,0
4.63485107,0
3.801330437,0
3.818619985,0
3.536972092,0
3.561420487,0
3.523229906,0
3.119046678,0
3.766298851,0
3.54841452,0
4.832736894,0
4.73206952,0
4.201943725,0
4.044267642,0
4.570163761,0
3.787552871,0
5.140327409,0
5.29450078,0
5.08615934,0
4.543209255,0
3.70741454,0
3.825611817,0
4.646507774,0
4.694854493,0
4.462123997,0
4.436427305,0
4.483598486,0
4.737015324,0
4.81166148,0
4.560892353,0
4.502967156,0
4.67404012,0
3.798825242,0
4.729704564,0
4.637524321,0
4.532620387,0
4.482834848,0
4.637152513,0
4.69397902,0
4.901757056,0
4.574732375,0
4.483641809,0
4.524048184,0
4.72320553,0
4.49102674,0
4.633180285,0
4.42721569,0
4.650962093,0
5.120948131,0
4.791305315,0
4.651163353,0
4.742658837,0
4.583356323,0
4.525232065,0
4.524787355,0
4.788135992,0
4.767832769,0
4.470952734,0
4.65615564,0
4.727677422,0
4.847870381,0
4.636873897,0
4.407123168,0
4.979612538,0
4.613295027,0
4.675830381,0
4.627741356,0
4.526933325,0
4.726030705,0
4.459342965,0
4.542821522,0
4.762565544,0
4.710014505,0
3.513542268,0
3.553357342,0
3.935611122,0
3.682168792,0
3.11519382,0
3.475847754,0
3.681246381,0
3.444512029,0
3.661997033,0
3.857885398,0
4.34444762,0
4.508579467,0
4.496594833,0
4.563431846,0
4.748767136,0
4.342567972,0
4.84221629,0
4.708760366,0
5.37729099,0
4.623761769,0
4.621202483,0
4.742787054,0
4.588389397,0
5.18253081,0
4.495325438,0
5.191311341,0
4.798151496,0
4.935594431,0
4.291014668,0
4.20767812,0
4.694124889,0
4.547844518,0
4.452131924,0
4.807304067,0
4.615515393,0
4.445383374,0
4.805292972,0
4.698273828,0
4.897108656,0
4.986137269,0
5.000231772,0
4.629169196,0
5.097986438,0
5.039545946,0
5.47982499,0
5.161058403,0
5.324767304,0
4.721520363,0
4.18529791,0
5.003496716,0
3.8702709,0
4.621767927,0
4.387343078,0
4.730341007,0
4.806474726,0
4.86070354,0
4.775289612,0
4.862397897,0
4.428759994,0
4.688071602,0
4.75661615,0
4.388949884,0
4.853587122,0
4.76634349,0
4.776789552,0
4.562982522,0
4.872225399,0
4.51979137,0
4.339419137,0
4.440555215,0
4.461902463,0
4.533958103,0
4.816627773,0
4.501191697,0
4.492402513,0
4.83603738,0
4.687466398,0
4.813874677,0
4.723056855,0
4.56284195,0
4.536396521,0
4.752938696,0
4.631160224,0
3.536164029,0
3.70149451,0
3.628298927,0
2.500466014,0
3.605489476,0
3.028740577,0
2.50566041,0
3.690764338,0
3.834790727,0
4.673037253,0
3.839703446,0
3.767692457,0
3.54448659,0
3.655685716,0
3.696367532,0
3.773153458,0
5.019273975,0
4.484313324,0
4.509333499,0
4.740094871,0
3.508490315,0
3.401846719,0
3.598805284,0
3.029644173,0
3.421611383,0
3.395987883,0
4.035115903,0
3.451332794,0
3.80751949,0
3.607095504,0
3.64985525,0
3.62126284,0
2.96489725,0
3.55502773,0
2.868778382,0
2.91394495,0
3.631626402,0
4.25595628,0
3.565086842,0
4.44747416,0
3.071316168,0
4.771565916,0
4.826610944,0
4.841109562,0
5.241304476,0
4.714939019,0
4.674241931,0
3.359067719,0
3.161710306,0
4.570587384,0
5.228805598,0
4.53711426,0
4.697988337,0
4.590073766,0
4.749900994,0
4.448026423,0
4.27661447,0
4.754698931,0
4.348067897,0
4.642302237,0
4.916940382,0
4.938738963,0
3.256008056,0
4.822065586,0
5.413092723,0
4.527199572,0
4.929483739,0
4.80842304,0
4.622276432,0
4.385309709,0
2.9869815,0
3.877079483,0
5.029771002,0
4.602958424,0
4.571318932,0
4.711918253,0
4.642659509,0
4.652734662,0
4.415659707,0
4.447136336,0
4.937063884,0
4.882846592,0
4.950540979,0
4.552011557,0
4.505091069,0
3.673120655,0
5.263641707,0
3.562182138,0
4.978127352,0
4.586186904,0
3.596701133,0
4.853426426,0
4.572682765,0
5.016176235,0
5.153416229,0
4.657921223,0
4.657496637,0
4.503260624,0
4.354582399,0
4.435408422,0
3.647001823,0
3.744052222,0
4.876008952,0
4.690752593,0
4.671734427,0
5.314961197,0
3.528448072,0
4.464251389,0
4.43938213,0
4.642703973,0
4.672292865,0
4.52879382,0
4.48465478,0
4.692945414,0
3.73055703,0
3.470310341,0
3.5315827,0
3.516641728,0
3.824565657,0
4.455866442,0
4.709661287,0
3.730758985,0
4.014852676,0
4.087951787,0
2.312780066,0
3.318699042,0
4.496943419,0
2.330790626,0
4.775884769,0
4.709718298,0
3.710798848,0
3.335855821,0
5.025974146,0
3.930731199,0
3.836005318,0
3.797863454,0
3.961192505,0
3.826999983,0
3.56356024,0
4.783006878,0
4.531579475,0
4.55604482,0
5.057480667,0
4.716332647,0
4.718540511,0
4.777937826,0
4.818653684,0
4.793306332,0
4.896594848,0
4.405999166,0
4.877945663,0
5.00937402,0
4.975872328,0
5.187378855,0
4.632845028,0
4.792714128,0
3.252040483,0
4.510808978,0
5.068201062,0
3.446480698,0
4.858188049,0
4.856616455,0
2.728534388,0
4.328944874,0
2.25071888,0
2.635662775,0
4.551370681,0
3.305047308,0
4.778302916,0
2.622852714,0
2.441604923,0
4.850641063,0
2.816814544,0
4.693095281,0
3.64294858,0
5.2852191,0
4.578545786,0
4.465258776,0
4.543138022,0
3.050009808,0
4.620577166,0
4.709048637,0
4.50483917,0
3.633750425,0
3.643355308,0
3.317036652,0
4.466142974,0
5.171268793,0
4.518614805,0
4.509658543,0
4.80887799,0
5.039705038,0
4.542178789,0
3.580323406,0
4.39056511,0
5.425504289,0
4.113469394,0
4.645208877,0
4.566788332,0
4.200679565,0
3.407177943,0
2.653081018,0
