entropy,class
5.516558698,0
4.889882671,0
5.375514433,0
5.114246509,0
5.285145411,0
4.660224918,0
4.119124126,0
5.472553396,0
5.102602487,0
5.127450791,0
5.241736036,0
5.069243701,0
5.197806888,0
5.424158691,0
5.059569758,0
5.281374017,0
6.121226845,0
5.344903823,0
5.300169502,0
5.103954926,0
5.529221382,0
5.110970088,0
4.760411134,0
5.032958456,0
4.582293831,0
5.012852917,0
5.3556657,0
5.217242103,0
5.535353032,0
5.251090603,0
5.093237054,0
5.214641433,0
4.285289198,0
4.989918267,0
5.28247073,0
5.214601198,0
5.298577627,0
5.19409864,0
5.184777182,0
5.226081062,0
4.850176857,0
5.571327185,0
4.954169114,0
4.930204888,0
5.33499501,0
5.186221406,0
5.36836294,0
5.188949118,0
5.255050269,0
5.200026059,0
5.23181183,0
4.875119305,0
5.083203835,0
5.198708951,0
5.138892001,0
5.198071132,0
5.587812998,0
5.169580655,0
5.176579962,0
5.668302582,0
5.247228929,0
5.318042631,0
5.394487592,0
5.309697192,0
5.226142308,0
5.095173173,0
5.008099798,0
5.24887389,0
5.387916268,0
4.607308929,0
5.255343504,0
5.402367585,0
5.251572566,0
4.997796339,0
5.373225503,0
5.265773936,0
5.301318927,0
5.242638731,0
5.289637431,0
4.973912553,0
5.180452756,0
5.251923519,0
4.716088621,0
5.379562901,0
5.185820838,0
5.339153295,0
5.06904595,0
4.868604438,0
5.373531445,0
5.091082841,0
5.226635787,0
4.904766847,0
5.032985459,0
5.113962191,0
4.8083013,0
5.208271092,0
5.264285447,0
5.054273357,0
4.833530627,0
5.242472375,0
5.101283606,0
5.248797395,0
5.350260741,0
5.418015381,0
5.212280936,0
5.154438921,0
5.267395639,0
4.714481618,0
5.122740091,0
5.218639383,0
5.146994057,0
5.248989132,0
5.143172659,0
5.078393332,0
5.200631359,0
5.010821375,0
4.807933249,0
5.473317996,0
5.214692283,0
5.249927596,0
5.069937292,0
5.061204467,0
4.473111631,0
5.281131762,0
5.657392366,0
5.144273842,0
5.152414368,0
5.301711183,0
5.40156738,0
5.15243922,0
4.852092343,0
4.166637776,0
5.281007453,0
5.28873996,0
5.083809571,0
5.288820925,0
4.516278795,0
5.095900815,0
5.268801718,0
5.140948254,0
4.84647505,0
4.663132429,0
5.106456679,0
5.282758014,0
5.222351176,0
5.043259529,0
5.317132372,0
5.099513207,0
5.33179982,0
5.33871679,0
5.31174838,0
5.363766212,0
5.2059169,0
5.299194816,0
5.398904076,0
4.533121025,0
5.271315743,0
4.629443738,0
5.468576604,0
5.116373929,0
4.980678124,0
4.964418005,0
4.797494923,0
5.106394386,0
4.743574391,0
5.098136689,0
5.072951058,0
5.039927767,0
3.809101431,0
5.147473083,0
5.113274424,0
5.119339011,0
5.135000499,0
4.923769011,0
5.172190194,0
4.552905635,0
5.080671155,0
5.515807985,0
5.505380631,0
4.915843984,0
5.111682784,0
5.52603125,0
5.093793904,0
5.095920599,0
5.095920599,0
5.094737067,0
5.564515669,0
5.321432381,0
5.349443496,0
5.086550357,0
5.095572119,0
4.734926426,0
5.393748533,0
5.147691338,0
5.424348855,0
5.060588042,0
5.361835666,0
5.61116999,0
4.963999766,0
5.071185144,0
5.276881969,0
5.047413535,0
4.717675381,0
5.386444398,0
4.905124814,0
5.284267597,0
5.158229386,0
5.175994472,0
5.196011934,0
4.70690882,0
5.156551396,0
5.105687453,0
4.624662673,0
4.522922693,0
5.209857955,0
5.34414446,0
5.337542506,0
5.192592816,0
5.268101249,0
5.245367497,0
5.029667607,0
5.100001769,0
5.485519241,0
5.228292282,0
5.353732873,0
4.871561852,0
5.258030793,0
5.305118778,0
5.530811637,0
5.265411311,0
5.224369873,0
5.064616109,0
5.071272921,0
5.310712874,0
5.280781897,0
3.200701852,0
4.922345704,0
5.510678567,0
4.981133202,0
4.989646977,0
5.347448565,0
4.95240608,0
5.254310672,0
5.425860867,0
4.932740944,0
5.412341006,0
5.22915198,0
5.605904967,0
5.148901748,0
5.284043204,0
4.61585141,0
5.615870797,0
5.1920867,0
5.435370233,0
5.251394871,0
5.010764266,0
5.010355298,0
5.42751606,0
5.258609293,0
5.222703894,0
5.008057251,0
5.363505767,0
5.222684392,0
4.608410429,0
4.956694191,0
4.60132384,0
5.02783114,0
4.178487464,0
5.194961378,0
5.512852997,0
5.272750712,0
5.105225606,0
4.992931956,0
4.988326593,0
4.700892802,0
5.138324047,0
5.390620236,0
4.541418253,0
5.163161949,0
5.229610062,0
5.217600527,0
5.454473649,0
5.139460166,0
5.229893116,0
5.451833967,0
4.893039084,0
4.304727899,0
5.204964938,0
5.100405818,0
5.327945224,0
4.932486244,0
5.225389988,0
4.616254634,0
5.194042789,0
5.092371484,0
5.245567554,0
5.347094196,0
5.324364656,0
5.507292743,0
5.281336503,0
5.507866587,0
4.99096623,0
5.129432804,0
5.191117953,0
5.517064761,0
5.410645619,0
4.721769564,0
4.426738623,0
4.690683228,0
4.970281468,0
5.342153571,0
5.245162101,0
5.153917585,0
5.357333132,0
4.651405751,0
4.754715285,0
4.976181351,0
5.201812682,0
5.082772542,0
4.750489058,0
5.251731469,0
5.102288078,0
5.669742829,0
5.346292422,0
4.729363772,0
4.967099597,0
5.173737455,0
5.312548582,0
5.12959133,0
5.491581758,0
5.471339551,0
5.447259517,0
4.813714375,0
4.79899095,0
5.110619014,0
5.128772754,0
4.382292191,0
5.152582499,0
4.896727767,0
5.107476189,0
5.30719092,0
5.006500584,0
5.621706692,0
5.036812,0
4.673967202,0
4.837318742,0
5.127208974,0
5.155924136,0
5.338560213,0
5.238441619,0
5.227924006,0
5.148414492,0
5.471857274,0
5.176087581,0
5.194166171,0
5.161420324,0
4.914189643,0
4.625013762,0
5.134268752,0
3.018160154,0
5.316688753,0
5.131115106,0
5.33331057,0
5.182197218,0
5.063542353,0
4.973062142,0
4.970104872,0
5.176500183,0
4.942180606,0
4.480236195,0
5.391688977,0
4.248939899,0
5.070484665,0
5.589424247,0
5.391163868,0
5.521570103,0
5.113044173,0
5.481214041,0
3.673299048,0
5.173539882,0
5.110068488,0
5.472704649,0
5.642301281,0
4.035390179,0
5.466895157,0
5.471923293,0
5.246156528,0
5.375895157,0
3.611134551,0
5.07888562,0
5.601041657,0
5.198259774,0
5.44731855,0
5.108850659,0
5.563194311,0
5.136636528,0
5.343765275,0
4.822137115,0
5.307537324,0
5.047759194,0
4.778358309,0
5.102041148,0
5.1490937,0
5.26090826,0
5.135733636,0
5.198797868,0
5.630459723,0
5.4667983,0
5.136043401,0
5.183942605,0
4.997196941,0
5.219133308,0
5.194060026,0
5.270354987,0
5.480908464,0
5.064884538,0
5.282474264,0
5.278080948,0
5.060148501,0
